trip_id,route_id,service_id,trip_headsign,direction_id
120596,MB,invs_22_02.pex,Kabiezes,0
120597,MB,invs_22_02.pex,Basauri,1
120598,MB,invs_22_02.pex,Kabiezes,0
120599,MB,invs_22_02.pex,Etxebarri,1
120600,MB,invs_22_02.pex,Ibarbengoa,0
120601,MB,invs_22_02.pex,Etxebarri,1
120602,MB,invs_22_02.pex,Ibarbengoa,0
120603,MB,invs_22_02.pex,Plentzia,0
120604,MB,invs_22_02.pex,Plentzia,0
120605,MB,invs_22_02.pex,Etxebarri,1
120606,MB,invs_22_02.pex,Plentzia,0
120607,MB,invs_22_02.pex,Etxebarri,1
120608,MB,invs_22_02.pex,Plentzia,0
120609,MB,invs_22_02.pex,Etxebarri,1
120610,MB,invs_22_02.pex,Plentzia,0
120611,MB,invs_22_02.pex,Etxebarri,1
120612,MB,invs_22_02.pex,Plentzia,0
120613,MB,invs_22_02.pex,Etxebarri,1
120615,MB,invs_22_02.pex,Kabiezes,0
120616,MB,invs_22_02.pex,Basauri,1
120617,MB,invs_22_02.pex,Kabiezes,0
120618,MB,invs_22_02.pex,Basauri,1
120619,MB,invs_22_02.pex,Kabiezes,0
120620,MB,invs_22_02.pex,Basauri,1
120621,MB,invs_22_02.pex,Kabiezes,0
120622,MB,invs_22_02.pex,Basauri,1
120623,MB,invs_22_02.pex,Kabiezes,0
120624,MB,invs_22_02.pex,Basauri,1
120625,MB,invs_22_02.pex,Kabiezes,0
120626,MB,invs_22_02.pex,Basauri,1
120627,MB,invs_22_02.pex,Kabiezes,0
120628,MB,invs_22_02.pex,Basauri,1
120629,MB,invs_22_02.pex,Kabiezes,0
120630,MB,invs_22_02.pex,Etxebarri,1
120631,MB,invs_22_02.pex,Basauri,1
120632,MB,invs_22_02.pex,Etxebarri,1
120633,MB,invs_22_02.pex,Ibarbengoa,0
120634,MB,invs_22_02.pex,Etxebarri,1
120635,MB,invs_22_02.pex,Ibarbengoa,0
120636,MB,invs_22_02.pex,Etxebarri,1
120638,MB,invs_22_02.pex,Plentzia,0
120639,MB,invs_22_02.pex,Etxebarri,1
120640,MB,invs_22_02.pex,Plentzia,0
120641,MB,invs_22_02.pex,Etxebarri,1
120642,MB,invs_22_02.pex,Plentzia,0
120643,MB,invs_22_02.pex,Etxebarri,1
120644,MB,invs_22_02.pex,Plentzia,0
120645,MB,invs_22_02.pex,Etxebarri,1
120646,MB,invs_22_02.pex,Plentzia,0
120647,MB,invs_22_02.pex,Etxebarri,1
120648,MB,invs_22_02.pex,Plentzia,0
120649,MB,invs_22_02.pex,Etxebarri,1
120650,MB,invs_22_02.pex,Etxebarri,1
120651,MB,invs_22_02.pex,Ibarbengoa,0
120652,MB,invs_22_02.pex,Etxebarri,1
120653,MB,invs_22_02.pex,Ibarbengoa,0
120654,MB,invs_22_02.pex,Etxebarri,1
120655,MB,invs_22_02.pex,Ibarbengoa,0
120656,MB,invs_22_02.pex,Etxebarri,1
120657,MB,invs_22_02.pex,Ibarbengoa,0
120658,MB,invs_22_02.pex,Etxebarri,1
120659,MB,invs_22_02.pex,Ibarbengoa,0
120661,MB,invs_22_02.pex,Plentzia,0
